raceId,year,round,name,driverId,surname,position,points
227,1996,4,European Grand Prix,30,Schumacher,2,6
227,1996,4,European Grand Prix,14,Coulthard,3,4
227,1996,4,European Grand Prix,71,Hill,4,3
227,1996,4,European Grand Prix,22,Barrichello,5,2
227,1996,4,European Grand Prix,84,Brundle,6,1
227,1996,4,European Grand Prix,65,Herbert,7,0
227,1996,4,European Grand Prix,57,Häkkinen,8,0
227,1996,4,European Grand Prix,77,Berger,9,0
227,1996,4,European Grand Prix,64,Diniz,10,0
227,1996,4,European Grand Prix,73,Rosset,11,0
227,1996,4,European Grand Prix,83,Lamy,12,0
227,1996,4,European Grand Prix,21,Fisichella,13,0
228,1996,5,San Marino Grand Prix,71,Hill,1,10
228,1996,5,San Marino Grand Prix,30,Schumacher,2,6
228,1996,5,San Marino Grand Prix,77,Berger,3,4
228,1996,5,San Marino Grand Prix,56,Irvine,4,3
228,1996,5,San Marino Grand Prix,22,Barrichello,5,2
228,1996,5,San Marino Grand Prix,55,Alesi,6,1
228,1996,5,San Marino Grand Prix,64,Diniz,7,0
228,1996,5,San Marino Grand Prix,57,Häkkinen,8,0
228,1996,5,San Marino Grand Prix,83,Lamy,9,0
228,1996,5,San Marino Grand Prix,69,Badoer,10,0
228,1996,5,San Marino Grand Prix,35,Villeneuve,11,0
229,1996,6,Monaco Grand Prix,44,Panis,1,10
229,1996,6,Monaco Grand Prix,14,Coulthard,2,6
229,1996,6,Monaco Grand Prix,65,Herbert,3,4
229,1996,6,Monaco Grand Prix,49,Frentzen,4,3
229,1996,6,Monaco Grand Prix,63,Salo,5,2
229,1996,6,Monaco Grand Prix,57,Häkkinen,6,1
229,1996,6,Monaco Grand Prix,56,Irvine,7,0
230,1996,7,Spanish Grand Prix,30,Schumacher,1,10
230,1996,7,Spanish Grand Prix,55,Alesi,2,6
230,1996,7,Spanish Grand Prix,35,Villeneuve,3,4
230,1996,7,Spanish Grand Prix,49,Frentzen,4,3
230,1996,7,Spanish Grand Prix,57,Häkkinen,5,2
230,1996,7,Spanish Grand Prix,64,Diniz,6,1
231,1996,8,Canadian Grand Prix,71,Hill,1,10
231,1996,8,Canadian Grand Prix,35,Villeneuve,2,6
231,1996,8,Canadian Grand Prix,55,Alesi,3,4
231,1996,8,Canadian Grand Prix,14,Coulthard,4,3
231,1996,8,Canadian Grand Prix,57,Häkkinen,5,2
231,1996,8,Canadian Grand Prix,84,Brundle,6,1
231,1996,8,Canadian Grand Prix,65,Herbert,7,0
231,1996,8,Canadian Grand Prix,21,Fisichella,8,0
232,1996,9,French Grand Prix,71,Hill,1,10
232,1996,9,French Grand Prix,35,Villeneuve,2,6
232,1996,9,French Grand Prix,55,Alesi,3,4
232,1996,9,French Grand Prix,77,Berger,4,3
232,1996,9,French Grand Prix,57,Häkkinen,5,2
232,1996,9,French Grand Prix,14,Coulthard,6,1
232,1996,9,French Grand Prix,44,Panis,7,0
232,1996,9,French Grand Prix,84,Brundle,8,0
232,1996,9,French Grand Prix,22,Barrichello,9,0
232,1996,9,French Grand Prix,63,Salo,10,0
232,1996,9,French Grand Prix,73,Rosset,11,0
232,1996,9,French Grand Prix,83,Lamy,12,0
233,1996,10,British Grand Prix,35,Villeneuve,1,10
233,1996,10,British Grand Prix,77,Berger,2,6
233,1996,10,British Grand Prix,57,Häkkinen,3,4
233,1996,10,British Grand Prix,22,Barrichello,4,3
233,1996,10,British Grand Prix,14,Coulthard,5,2
233,1996,10,British Grand Prix,84,Brundle,6,1
233,1996,10,British Grand Prix,63,Salo,7,0
233,1996,10,British Grand Prix,49,Frentzen,8,0
233,1996,10,British Grand Prix,65,Herbert,9,0
233,1996,10,British Grand Prix,50,Verstappen,10,0
233,1996,10,British Grand Prix,21,Fisichella,11,0
234,1996,11,German Grand Prix,71,Hill,1,10
234,1996,11,German Grand Prix,55,Alesi,2,6
234,1996,11,German Grand Prix,35,Villeneuve,3,4
234,1996,11,German Grand Prix,30,Schumacher,4,3
234,1996,11,German Grand Prix,14,Coulthard,5,2
234,1996,11,German Grand Prix,22,Barrichello,6,1
234,1996,11,German Grand Prix,44,Panis,7,0
234,1996,11,German Grand Prix,49,Frentzen,8,0
234,1996,11,German Grand Prix,63,Salo,9,0
